OCC_CODE	OCC_TITLE	O_GROUP	TOT_EMP
45-4000	"Forest, Conservation, and Logging Workers"	minor	"42,330"
45-4010	Forest and Conservation Workers	broad	"6,300"
45-4011	Forest and Conservation Workers	detailed	"6,300"
45-4020	Logging Workers	broad	"36,030"
45-4021	Fallers	detailed	"4,170"
45-4022	Logging Equipment Operators	detailed	"25,510"
45-4023	Log Graders and Scalers	detailed	"3,260"
45-4029	"Logging Workers, All Other"	detailed	"3,080"
47-0000	Construction and Extraction Occupations	major	"5,848,950"
47-1000	Supervisors of Construction and Extraction Workers	minor	"665,870"
47-1010	First-Line Supervisors of Construction Trades and Extraction Workers	broad	"665,870"
47-1011	First-Line Supervisors of Construction Trades and Extraction Workers	detailed	"665,870"
47-2000	Construction Trades Workers	minor	"4,362,080"
47-2010	Boilermakers	broad	"12,920"
47-2011	Boilermakers	detailed	"12,920"
47-2020	"Brickmasons, Blockmasons, and Stonemasons"	broad	"64,950"
47-2021	Brickmasons and Blockmasons	detailed	"55,950"
47-2022	Stonemasons	detailed	"9,000"
47-2030	Carpenters	broad	"668,060"
47-2031	Carpenters	detailed	"668,060"
47-2040	"Carpet, Floor, and Tile Installers and Finishers"	broad	"83,600"
47-2041	Carpet Installers	detailed	"19,790"
47-2042	"Floor Layers, Except Carpet, Wood, and Hard Tiles"	detailed	"18,300"
47-2043	Floor Sanders and Finishers	detailed	"4,340"
47-2044	Tile and Stone Setters	detailed	"41,160"
47-2050	"Cement Masons, Concrete Finishers, and Terrazzo Workers"	broad	"189,240"
47-2051	Cement Masons and Concrete Finishers	detailed	"186,600"
47-2053	Terrazzo Workers and Finishers	detailed	"2,640"
47-2060	Construction Laborers	broad	"968,760"
47-2061	Construction Laborers	detailed	"968,760"
47-2070	Construction Equipment Operators	broad	"452,780"
47-2071	"Paving, Surfacing, and Tamping Equipment Operators"	detailed	"44,200"
47-2072	Pile Driver Operators	detailed	"3,760"
47-2073	Operating Engineers and Other Construction Equipment Operators	detailed	"404,820"
47-2080	"Drywall Installers, Ceiling Tile Installers, and Tapers"	broad	"111,650"
47-2081	Drywall and Ceiling Tile Installers	detailed	"97,070"
47-2082	Tapers	detailed	"14,580"
47-2110	Electricians	broad	"650,580"
47-2111	Electricians	detailed	"650,580"
47-2120	Glaziers	broad	"52,700"
47-2121	Glaziers	detailed	"52,700"
47-2130	Insulation Workers	broad	"58,370"
47-2131	"Insulation Workers, Floor, Ceiling, and Wall"	detailed	"30,360"
47-2132	"Insulation Workers, Mechanical"	detailed	"28,010"
47-2140	Painters and Paperhangers	broad	"216,560"
47-2141	"Painters, Construction and Maintenance"	detailed	"214,220"
47-2142	Paperhangers	detailed	"2,340"
47-2150	"Pipelayers, Plumbers, Pipefitters, and Steamfitters"	broad	"450,940"
47-2151	Pipelayers	detailed	"33,330"
47-2152	"Plumbers, Pipefitters, and Steamfitters"	detailed	"417,620"
47-2160	Plasterers and Stucco Masons	broad	"26,980"
47-2161	Plasterers and Stucco Masons	detailed	"26,980"
47-2170	Reinforcing Iron and Rebar Workers	broad	"16,420"
47-2171	Reinforcing Iron and Rebar Workers	detailed	"16,420"
47-2180	Roofers	broad	"129,890"
47-2181	Roofers	detailed	"129,890"
47-2210	Sheet Metal Workers	broad	"122,630"
47-2211	Sheet Metal Workers	detailed	"122,630"
47-2220	Structural Iron and Steel Workers	broad	"68,620"
47-2221	Structural Iron and Steel Workers	detailed	"68,620"
47-2230	Solar Photovoltaic Installers	broad	"16,420"
47-2231	Solar Photovoltaic Installers	detailed	"16,420"
47-3000	"Helpers, Construction Trades"	minor	"206,900"
47-3010	"Helpers, Construction Trades"	broad	"206,900"
47-3011	"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"	detailed	"18,210"
47-3012	Helpers--Carpenters	detailed	"27,540"
47-3013	Helpers--Electricians	detailed	"72,150"
47-3014	"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"	detailed	"8,940"
47-3015	"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"	detailed	"45,930"
47-3016	Helpers--Roofers	detailed	"6,830"
47-3019	"Helpers, Construction Trades, All Other"	detailed	"27,300"
47-4000	Other Construction and Related Workers	minor	"430,760"
47-4010	Construction and Building Inspectors	broad	"117,830"
47-4011	Construction and Building Inspectors	detailed	"117,830"
47-4020	Elevator and Escalator Installers and Repairers	broad	"22,510"
47-4021	Elevator and Escalator Installers and Repairers	detailed	"22,510"
47-4030	Fence Erectors	broad	"24,470"
47-4031	Fence Erectors	detailed	"24,470"
47-4040	Hazardous Materials Removal Workers	broad	"44,240"
47-4041	Hazardous Materials Removal Workers	detailed	"44,240"
47-4050	Highway Maintenance Workers	broad	"141,150"
47-4051	Highway Maintenance Workers	detailed	"141,150"
47-4060	Rail-Track Laying and Maintenance Equipment Operators	broad	"21,030"
47-4061	Rail-Track Laying and Maintenance Equipment Operators	detailed	"21,030"
47-4070	Septic Tank Servicers and Sewer Pipe Cleaners	broad	"28,620"
47-4071	Septic Tank Servicers and Sewer Pipe Cleaners	detailed	"28,620"
47-4090	Miscellaneous Construction and Related Workers	broad	"30,920"
47-4090	Miscellaneous Construction and Related Workers	detailed	"30,920"
47-5000	Extraction Workers	minor	"183,340"
47-5010	"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas"	broad	"51,910"
47-5011	"Derrick Operators, Oil and Gas"	detailed	"7,880"
47-5012	"Rotary Drill Operators, Oil and Gas"	detailed	"11,170"
47-5013	"Service Unit Operators, Oil and Gas"	detailed	"32,870"
47-5020	Surface Mining Machine Operators and Earth Drillers	broad	"51,520"
47-5022	"Excavating and Loading Machine and Dragline Operators, Surface Mining"	detailed	"35,720"
47-5023	"Earth Drillers, Except Oil and Gas"	detailed	"15,800"
47-5030	"Explosives Workers, Ordnance Handling Experts, and Blasters"	broad	"5,370"
47-5032	"Explosives Workers, Ordnance Handling Experts, and Blasters"	detailed	"5,370"
47-5040	Underground Mining Machine Operators	broad	"24,200"
47-5041	Continuous Mining Machine Operators	detailed	"14,740"
47-5043	"Roof Bolters, Mining"	detailed	"1,850"
47-5044	"Loading and Moving Machine Operators, Underground Mining"	detailed	"4,450"
47-5049	"Underground Mining Machine Operators, All Other"	detailed	"3,150"
47-5050	"Rock Splitters, Quarry"	broad	"4,450"
47-5051	"Rock Splitters, Quarry"	detailed	"4,450"
47-5070	"Roustabouts, Oil and Gas"	broad	"34,520"
47-5071	"Roustabouts, Oil and Gas"	detailed	"34,520"
47-5080	Helpers--Extraction Workers	broad	"5,980"
47-5081	Helpers--Extraction Workers	detailed	"5,980"
47-5090	Miscellaneous Extraction Workers	broad	"5,380"
47-5099	"Extraction Workers, All Other"	detailed	"5,380"
49-0000	"Installation, Maintenance, and Repair Occupations"	major	"5,574,410"
49-1000	"Supervisors of Installation, Maintenance, and Repair Workers"	minor	"526,240"
49-1010	"First-Line Supervisors of Mechanics, Installers, and Repairers"	broad	"526,240"
49-1011	"First-Line Supervisors of Mechanics, Installers, and Repairers"	detailed	"526,240"
49-2000	"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"	minor	"499,670"
49-2010	"Computer, Automated Teller, and Office Machine Repairers"	broad	"86,420"
49-2011	"Computer, Automated Teller, and Office Machine Repairers"	detailed	"86,420"
49-2020	Radio and Telecommunications Equipment Installers and Repairers	broad	"186,530"
49-2021	"Radio, Cellular, and Tower Equipment Installers and Repairers"	detailed	"13,700"
49-2022	"Telecommunications Equipment Installers and Repairers, Except Line Installers"	detailed	"172,830"
49-2090	"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"	broad	"226,720"
49-2091	Avionics Technicians	detailed	"18,910"
49-2092	"Electric Motor, Power Tool, and Related Repairers"	detailed	"15,880"
49-2093	"Electrical and Electronics Installers and Repairers, Transportation Equipment"	detailed	"10,710"
49-2094	"Electrical and Electronics Repairers, Commercial and Industrial Equipment"	detailed	"50,780"
49-2095	"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"	detailed	"22,490"
49-2096	"Electronic Equipment Installers and Repairers, Motor Vehicles"	detailed	"9,000"
49-2097	Audiovisual Equipment Installers and Repairers	detailed	"21,540"
49-2098	Security and Fire Alarm Systems Installers	detailed	"77,420"
49-3000	"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"	minor	"1,570,020"
49-3010	Aircraft Mechanics and Service Technicians	broad	"125,440"
49-3011	Aircraft Mechanics and Service Technicians	detailed	"125,440"
49-3020	Automotive Technicians and Repairers	broad	"783,310"
49-3021	Automotive Body and Related Repairers	detailed	"137,300"
49-3022	Automotive Glass Installers and Repairers	detailed	"16,230"
49-3023	Automotive Service Technicians and Mechanics	detailed	"629,780"
49-3030	Bus and Truck Mechanics and Diesel Engine Specialists	broad	"261,420"
49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	detailed	"261,420"
49-3040	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	broad	"203,060"
49-3041	Farm Equipment Mechanics and Service Technicians	detailed	"35,030"
49-3042	"Mobile Heavy Equipment Mechanics, Except Engines"	detailed	"145,230"
49-3043	Rail Car Repairers	detailed	"22,800"
49-3050	Small Engine Mechanics	broad	"72,800"
49-3051	Motorboat Mechanics and Service Technicians	detailed	"23,080"
49-3052	Motorcycle Mechanics	detailed	"15,020"
49-3053	Outdoor Power Equipment and Other Small Engine Mechanics	detailed	"34,700"
49-3090	"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"	broad	"123,980"
49-3091	Bicycle Repairers	detailed	"14,760"
49-3092	Recreational Vehicle Service Technicians	detailed	"16,030"
49-3093	Tire Repairers and Changers	detailed	"93,180"
49-9000	"Other Installation, Maintenance, and Repair Occupations"	minor	"2,978,490"
49-9010	Control and Valve Installers and Repairers	broad	"68,170"
49-9011	Mechanical Door Repairers	detailed	"23,300"
49-9012	"Control and Valve Installers and Repairers, Except Mechanical Door"	detailed	"44,870"
49-9020	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	broad	"356,960"
49-9021	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	detailed	"356,960"
49-9030	Home Appliance Repairers	broad	"28,120"
49-9031	Home Appliance Repairers	detailed	"28,120"
49-9040	"Industrial Machinery Installation, Repair, and Maintenance Workers"	broad	"470,650"
49-9041	Industrial Machinery Mechanics	detailed	"373,090"
49-9043	"Maintenance Workers, Machinery"	detailed	"57,660"
49-9044	Millwrights	detailed	"39,240"
49-9045	"Refractory Materials Repairers, Except Brickmasons"	detailed	660
49-9050	Line Installers and Repairers	broad	"225,460"
49-9051	Electrical Power-Line Installers and Repairers	detailed	"123,940"
49-9052	Telecommunications Line Installers and Repairers	detailed	"101,530"
49-9060	Precision Instrument and Equipment Repairers	broad	"74,530"
49-9061	Camera and Photographic Equipment Repairers	detailed	"2,340"
49-9062	Medical Equipment Repairers	detailed	"53,400"
49-9063	Musical Instrument Repairers and Tuners	detailed	"5,710"
49-9064	Watch and Clock Repairers	detailed	"1,970"
49-9069	"Precision Instrument and Equipment Repairers, All Other"	detailed	"11,110"
49-9070	"Maintenance and Repair Workers, General"	broad	"1,416,740"
49-9071	"Maintenance and Repair Workers, General"	detailed	"1,416,740"
49-9080	Wind Turbine Service Technicians	broad	"10,100"
49-9081	Wind Turbine Service Technicians	detailed	"10,100"
49-9090	"Miscellaneous Installation, Maintenance, and Repair Workers"	broad	"327,750"
49-9091	"Coin, Vending, and Amusement Machine Servicers and Repairers"	detailed	"27,540"
49-9092	Commercial Divers	detailed	"2,670"
49-9094	Locksmiths and Safe Repairers	detailed	"15,380"
49-9095	Manufactured Building and Mobile Home Installers	detailed	"3,530"
49-9096	Riggers	detailed	"17,980"
49-9097	Signal and Track Switch Repairers	detailed	"8,090"
49-9098	"Helpers--Installation, Maintenance, and Repair Workers"	detailed	"88,480"
49-9099	"Installation, Maintenance, and Repair Workers, All Other"	detailed	"164,070"
51-0000	Production Occupations	major	"8,408,030"
51-1000	Supervisors of Production Workers	minor	"629,420"
51-1010	First-Line Supervisors of Production and Operating Workers	broad	"629,420"
51-1011	First-Line Supervisors of Production and Operating Workers	detailed	"629,420"
51-2000	Assemblers and Fabricators	minor	"1,769,890"
51-2010	"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"	broad	"33,320"
51-2011	"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"	detailed	"33,320"
51-2020	"Electrical, Electronics, and Electromechanical Assemblers"	broad	"283,010"
51-2021	"Coil Winders, Tapers, and Finishers"	detailed	"11,090"
51-2028	"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"	detailed	"271,920"
51-2030	Engine and Other Machine Assemblers	broad	"45,990"
51-2031	Engine and Other Machine Assemblers	detailed	"45,990"
51-2040	Structural Metal Fabricators and Fitters	broad	"61,070"
51-2041	Structural Metal Fabricators and Fitters	detailed	"61,070"
51-2050	Fiberglass Laminators and Fabricators	broad	"17,380"
51-2051	Fiberglass Laminators and Fabricators	detailed	"17,380"
51-2060	Timing Device Assemblers and Adjusters	broad	560
51-2061	Timing Device Assemblers and Adjusters	detailed	560
51-2090	Miscellaneous Assemblers and Fabricators	broad	"1,328,550"
51-2090	Miscellaneous Assemblers and Fabricators	detailed	"1,328,550"
51-3000	Food Processing Workers	minor	"795,640"
51-3010	Bakers	broad	"181,800"
51-3011	Bakers	detailed	"181,800"
51-3020	"Butchers and Other Meat, Poultry, and Fish Processing Workers"	broad	"364,480"
51-3021	Butchers and Meat Cutters	detailed	"145,930"
51-3022	"Meat, Poultry, and Fish Cutters and Trimmers"	detailed	"132,100"
51-3023	Slaughterers and Meat Packers	detailed	"86,450"
51-3090	Miscellaneous Food Processing Workers	broad	"249,360"
51-3091	"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"	detailed	"21,050"
51-3092	Food Batchmakers	detailed	"155,240"
51-3093	Food Cooking Machine Operators and Tenders	detailed	"26,710"
51-3099	"Food Processing Workers, All Other"	detailed	"46,360"
51-4000	Metal Workers and Plastic Workers	minor	"1,633,980"
51-4020	"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"	broad	"102,640"
51-4021	"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"59,490"
51-4022	"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"11,500"
51-4023	"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"31,650"
51-4030	"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"	broad	"288,810"
51-4031	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"179,630"
51-4032	"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	detailed	"6,810"
51-4033	"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	detailed	"67,750"
51-4034	"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	detailed	"19,690"
51-4035	"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"14,920"
51-4040	Machinists	broad	"333,220"
51-4041	Machinists	detailed	"333,220"
51-4050	"Metal Furnace Operators, Tenders, Pourers, and Casters"	broad	"22,110"
51-4051	Metal-Refining Furnace Operators and Tenders	detailed	"15,540"
51-4052	"Pourers and Casters, Metal"	detailed	"6,570"
51-4060	"Model Makers and Patternmakers, Metal and Plastic"	broad	"5,780"
51-4061	"Model Makers, Metal and Plastic"	detailed	"3,690"
51-4062	"Patternmakers, Metal and Plastic"	detailed	"2,090"
51-4070	"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"	broad	"176,820"
51-4071	Foundry Mold and Coremakers	detailed	"13,610"
51-4072	"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"163,210"
51-4080	"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	broad	"134,880"
51-4081	"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	detailed	"134,880"
51-4110	Tool and Die Makers	broad	"63,630"
51-4111	Tool and Die Makers	detailed	"63,630"
51-4120	"Welding, Soldering, and Brazing Workers"	broad	"427,580"
51-4121	"Welders, Cutters, Solderers, and Brazers"	detailed	"397,600"
51-4122	"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"	detailed	"29,980"
51-4190	Miscellaneous Metal Workers and Plastic Workers	broad	"78,530"
51-4191	"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"	detailed	"14,540"
51-4192	"Layout Workers, Metal and Plastic"	detailed	"6,840"
51-4193	"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"	detailed	"32,310"
51-4194	"Tool Grinders, Filers, and Sharpeners"	detailed	"6,100"
51-4199	"Metal Workers and Plastic Workers, All Other"	detailed	"18,740"
51-5100	Printing Workers	minor	"211,930"
51-5110	Printing Workers	broad	"211,930"
51-5111	Prepress Technicians and Workers	detailed	"25,840"
51-5112	Printing Press Operators	detailed	"145,290"
51-5113	Print Binding and Finishing Workers	detailed	"40,810"
51-6000	"Textile, Apparel, and Furnishings Workers"	minor	"445,950"
51-6010	Laundry and Dry-Cleaning Workers	broad	"157,400"
51-6011	Laundry and Dry-Cleaning Workers	detailed	"157,400"
51-6020	"Pressers, Textile, Garment, and Related Materials"	broad	"26,910"
51-6021	"Pressers, Textile, Garment, and Related Materials"	detailed	"26,910"
51-6030	Sewing Machine Operators	broad	"116,220"
51-6031	Sewing Machine Operators	detailed	"116,220"
51-6040	Shoe and Leather Workers	broad	"9,240"
51-6041	Shoe and Leather Workers and Repairers	detailed	"5,620"
51-6042	Shoe Machine Operators and Tenders	detailed	"3,610"
51-6050	"Tailors, Dressmakers, and Sewers"	broad	"21,450"
51-6051	"Sewers, Hand"	detailed	"4,170"
51-6052	"Tailors, Dressmakers, and Custom Sewers"	detailed	"17,270"
51-6060	"Textile Machine Setters, Operators, and Tenders"	broad	"56,700"
51-6061	Textile Bleaching and Dyeing Machine Operators and Tenders	detailed	"6,240"
51-6062	"Textile Cutting Machine Setters, Operators, and Tenders"	detailed	"11,970"
51-6063	"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"	detailed	"16,330"
51-6064	"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"	detailed	"22,160"
51-6090	"Miscellaneous Textile, Apparel, and Furnishings Workers"	broad	"58,030"
51-6091	"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"	detailed	"14,040"
51-6092	Fabric and Apparel Patternmakers	detailed	"3,220"
51-6093	Upholsterers	detailed	"28,020"
51-6099	"Textile, Apparel, and Furnishings Workers, All Other"	detailed	"12,750"
51-7000	Woodworkers	minor	"230,400"
51-7010	Cabinetmakers and Bench Carpenters	broad	"93,070"
51-7011	Cabinetmakers and Bench Carpenters	detailed	"93,070"
51-7020	Furniture Finishers	broad	"16,300"
51-7021	Furniture Finishers	detailed	"16,300"
51-7030	"Model Makers and Patternmakers, Wood"	broad	550
51-7031	"Model Makers, Wood"	detailed	340
51-7032	"Patternmakers, Wood"	detailed	210
51-7040	"Woodworking Machine Setters, Operators, and Tenders"	broad	"112,560"
51-7041	"Sawing Machine Setters, Operators, and Tenders, Wood"	detailed	"45,350"
51-7042	"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"	detailed	"67,210"
51-7090	Miscellaneous Woodworkers	broad	"7,910"
51-7099	"Woodworkers, All Other"	detailed	"7,910"
51-8000	Plant and System Operators	minor	"280,900"
51-8010	"Power Plant Operators, Distributors, and Dispatchers"	broad	"43,440"
51-8011	Nuclear Power Reactor Operators	detailed	"4,820"
51-8012	Power Distributors and Dispatchers	detailed	"9,660"
51-8013	Power Plant Operators	detailed	"28,960"
51-8020	Stationary Engineers and Boiler Operators	broad	"29,820"
51-8021	Stationary Engineers and Boiler Operators	detailed	"29,820"
51-8030	Water and Wastewater Treatment Plant and System Operators	broad	"121,150"
51-8031	Water and Wastewater Treatment Plant and System Operators	detailed	"121,150"
51-8090	Miscellaneous Plant and System Operators	broad	"86,500"
51-8091	Chemical Plant and System Operators	detailed	"21,740"
51-8092	Gas Plant Operators	detailed	"15,110"
51-8093	"Petroleum Pump System Operators, Refinery Operators, and Gaugers"	detailed	"34,230"
51-8099	"Plant and System Operators, All Other"	detailed	"15,420"
51-9000	Other Production Occupations	minor	"2,409,900"
51-9010	"Chemical Processing Machine Setters, Operators, and Tenders"	broad	"154,790"
51-9011	Chemical Equipment Operators and Tenders	detailed	"106,170"
51-9012	"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"	detailed	"48,620"
51-9020	"Crushing, Grinding, Polishing, Mixing, and Blending Workers"	broad	"155,920"
51-9021	"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"	detailed	"31,800"
51-9022	"Grinding and Polishing Workers, Hand"	detailed	"15,680"
51-9023	"Mixing and Blending Machine Setters, Operators, and Tenders"	detailed	"108,440"
51-9030	Cutting Workers	broad	"63,850"
51-9031	"Cutters and Trimmers, Hand"	detailed	"7,920"
51-9032	"Cutting and Slicing Machine Setters, Operators, and Tenders"	detailed	"55,930"
51-9040	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"	broad	"56,570"
51-9041	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"	detailed	"56,570"
51-9050	"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"	broad	"14,180"
51-9051	"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"	detailed	"14,180"
51-9060	"Inspectors, Testers, Sorters, Samplers, and Weighers"	broad	"551,380"
51-9061	"Inspectors, Testers, Sorters, Samplers, and Weighers"	detailed	"551,380"
51-9070	Jewelers and Precious Stone and Metal Workers	broad	"24,350"
51-9071	Jewelers and Precious Stone and Metal Workers	detailed	"24,350"
51-9080	Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians	broad	"68,380"
51-9081	Dental Laboratory Technicians	detailed	"34,150"
51-9082	Medical Appliance Technicians	detailed	"15,300"
51-9083	Ophthalmic Laboratory Technicians	detailed	"18,930"
51-9110	Packaging and Filling Machine Operators and Tenders	broad	"358,640"
51-9111	Packaging and Filling Machine Operators and Tenders	detailed	"358,640"
51-9120	Painting Workers	broad	"157,250"
51-9123	"Painting, Coating, and Decorating Workers"	detailed	"11,850"
51-9124	"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"	detailed	"145,410"
51-9140	Semiconductor Processing Technicians	broad	"24,020"
51-9141	Semiconductor Processing Technicians	detailed	"24,020"
51-9150	Photographic Process Workers and Processing Machine Operators	broad	"5,740"
51-9151	Photographic Process Workers and Processing Machine Operators	detailed	"5,740"
51-9160	Computer Numerically Controlled Tool Operators and Programmers	broad	"183,630"
51-9161	Computer Numerically Controlled Tool Operators	detailed	"157,840"
51-9162	Computer Numerically Controlled Tool Programmers	detailed	"25,800"
51-9190	Miscellaneous Production Workers	broad	"591,200"
51-9191	Adhesive Bonding Machine Operators and Tenders	detailed	"12,510"
51-9192	"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"	detailed	"13,580"
51-9193	Cooling and Freezing Equipment Operators and Tenders	detailed	"7,500"
51-9194	Etchers and Engravers	detailed	"7,110"
51-9195	"Molders, Shapers, and Casters, Except Metal and Plastic"	detailed	"38,420"
51-9196	"Paper Goods Machine Setters, Operators, and Tenders"	detailed	"87,480"
51-9197	Tire Builders	detailed	"17,240"
51-9198	Helpers--Production Workers	detailed	"202,860"
51-9199	"Production Workers, All Other"	detailed	"204,500"
53-0000	Transportation and Material Moving Occupations	major	"12,639,920"
53-1000	Supervisors of Transportation and Material Moving Workers	minor	"557,850"
53-1040	First-Line Supervisors of Transportation and Material Moving Workers	broad	"557,850"
53-1041	Aircraft Cargo Handling Supervisors	detailed	"8,590"
53-1047	"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"	detailed	"549,260"
53-2000	Air Transportation Workers	minor	"254,820"
53-2010	Aircraft Pilots and Flight Engineers	broad	"124,080"
53-2011	"Airline Pilots, Copilots, and Flight Engineers"	detailed	"81,310"
53-2012	Commercial Pilots	detailed	"42,770"
53-2020	Air Traffic Controllers and Airfield Operations Specialists	broad	"33,830"
53-2021	Air Traffic Controllers	detailed	"21,230"
53-2022	Airfield Operations Specialists	detailed	"12,610"
53-2030	Flight Attendants	broad	"96,900"
53-2031	Flight Attendants	detailed	"96,900"
53-3000	Motor Vehicle Operators	minor	"4,147,650"
53-3010	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"	broad	"11,710"
53-3011	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"	detailed	"11,710"
53-3030	Driver/Sales Workers and Truck Drivers	broad	"3,390,490"
53-3031	Driver/Sales Workers	detailed	"477,020"
53-3032	Heavy and Tractor-Trailer Truck Drivers	detailed	"1,903,420"
53-3033	Light Truck Drivers	detailed	"1,010,040"
53-3050	Passenger Vehicle Drivers	broad	"696,760"
53-3051	"Bus Drivers, School"	detailed	"361,420"
53-3052	"Bus Drivers, Transit and Intercity"	detailed	"145,720"
53-3053	Shuttle Drivers and Chauffeurs	detailed	"175,660"
53-3054	Taxi Drivers	detailed	"13,950"
53-3090	Miscellaneous Motor Vehicle Operators	broad	"48,690"
53-3099	"Motor Vehicle Operators, All Other"	detailed	"48,690"
53-4000	Rail Transportation Workers	minor	"119,120"
53-4010	Locomotive Engineers and Operators	broad	"43,440"
53-4011	Locomotive Engineers	detailed	"38,980"
53-4013	"Rail Yard Engineers, Dinkey Operators, and Hostlers"	detailed	"4,460"
53-4020	"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"	broad	"16,200"
53-4022	"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"	detailed	"16,200"
53-4030	Railroad Conductors and Yardmasters	broad	"48,030"
53-4031	Railroad Conductors and Yardmasters	detailed	"48,030"
53-4040	Subway and Streetcar Operators	broad	"10,310"
53-4041	Subway and Streetcar Operators	detailed	"10,310"
53-4090	Miscellaneous Rail Transportation Workers	broad	"1,140"
53-4099	"Rail Transportation Workers, All Other"	detailed	"1,140"
53-5000	Water Transportation Workers	minor	"70,480"
53-5010	Sailors and Marine Oilers	broad	"26,610"
53-5011	Sailors and Marine Oilers	detailed	"26,610"
53-5020	Ship and Boat Captains and Operators	broad	"36,220"
53-5021	"Captains, Mates, and Pilots of Water Vessels"	detailed	"33,490"
53-5022	Motorboat Operators	detailed	"2,740"
53-5030	Ship Engineers	broad	"7,650"
53-5031	Ship Engineers	detailed	"7,650"
53-6000	Other Transportation Workers	minor	"286,680"
53-6010	Bridge and Lock Tenders	broad	"4,040"
53-6011	Bridge and Lock Tenders	detailed	"4,040"
53-6020	Parking Attendants	broad	"91,160"
53-6021	Parking Attendants	detailed	"91,160"
53-6030	Transportation Service Attendants	broad	"123,660"
53-6031	Automotive and Watercraft Service Attendants	detailed	"111,480"
53-6032	Aircraft Service Attendants	detailed	"12,170"
53-6040	Traffic Technicians	broad	"7,770"
53-6041	Traffic Technicians	detailed	"7,770"
53-6050	Transportation Inspectors	broad	"25,070"
53-6051	Transportation Inspectors	detailed	"25,070"
53-6060	Passenger Attendants	broad	"21,240"
53-6061	Passenger Attendants	detailed	"21,240"
53-6090	Miscellaneous Transportation Workers	broad	"13,750"
53-6099	"Transportation Workers, All Other"	detailed	"13,750"
53-7000	Material Moving Workers	minor	"7,203,320"
53-7010	Conveyor Operators and Tenders	broad	"28,650"
53-7011	Conveyor Operators and Tenders	detailed	"28,650"
53-7020	Crane and Tower Operators	broad	"43,400"
53-7021	Crane and Tower Operators	detailed	"43,400"
53-7030	Dredge Operators	broad	"1,650"
